"","ObjectNum","Name","Type","Magnitude","Info","Constellation","List","Season","Zone"
"217","4214","NGC 4228","Galaxy",8.7,"Size: 7.9  cB, cL, iE, biN","Canes Venatici","Herschel 400","Fall","Green"
"218","4216","UGC 7284","Galaxy",9,"Size: 8.3  vB, vL, vmE 17deg , sbMN","Virgo","Herschel 400","Spring","Green"
"219","4245","UGC 7328","Galaxy",10.4,"Size: 3.3  cB, pL, vlE, smbM, r","Como Berenices","Herschel 400","Fall","Green"
"220","4251","UGC 7338","Galaxy",11,"Size: 4.2  vB, S, E, vsvmbMN, *6-7 f 90s","Como Berenices","Herschel 400","Fall","Green"
"221","4258","M 106","Galaxy",7.3,"Size: 18.2  vB, vL, vmE 0deg , sbMBN; =","Canes Venatici","Herschel 400","Fall","Green"
"222","4261","UGC 7360","Galaxy",9.3,"Size: 3.9  pB, pS, R, gbM","Virgo","Herschel 400","Spring","Green"
"223","4273","UGC 7380","Galaxy",10.9,"Size: 2.3  pB, L, E, gbM","Virgo","Herschel 400","Spring","Green"
"224","4274","UGC 7377","Galaxy",9.4,"Size: 6.9  vB, vL, E 90deg , mbMN","Como Berenices","Herschel 400","Fall","Green"
"225","4278","UGC 7386","Galaxy",9.2,"Size: 3.6  vB, pL, R, mbM, r, 1st of 3","Como Berenices","Herschel 400","Fall","Green"
"226","4281","UGC 7389","Galaxy",10.3,"Size: 3.1  B, vL, R, pgbM","Virgo","Herschel 400","Spring","Green"
"227","4293","UGC 7405","Galaxy",10,"Size: 6.0  F, vL, E, lbM, r","Como Berenices","Herschel 400","Fall","Green"
"228","4303","M 61","Galaxy",8.7,"Size: 6.0  vB, vL, vsbM*, biN; = M61","Virgo","Herschel 400","Spring","Green"
"229","4314","UGC 7443","Galaxy",9.5,"Size: 4.8  cB, L, E 150deg +/- , sbM, *","Como Berenices","Herschel 400","Fall","Green"
"230","4346","UGC 7463","Galaxy",11,"Size: 3.5  vF, S, mE 100deg +/- , vsmbMB","Canes Venatici","Herschel 400","Fall","Green"
"231","4350","UGC 7473","Galaxy",10.1,"Size: 3.2  cB, vS, mE, vsbM","Como Berenices","Herschel 400","Fall","Green"
"232","4361","ESO 573-PN19","Planetary Nebula",9,"Size: 1.8  vB, L, R, vsmbMN, r","Corvus","Herschel 400","Fall","Green"
"233","4365","UGC 7488","Galaxy",10,"Size: 6.2  cB, pL, vlE, gl, smbM","Virgo","Herschel 400","Spring","Green"
"234","4371","UGC 7493","Galaxy",9.8,"Size: 3.9  B, pS, R, gbM","Virgo","Herschel 400","Spring","Green"
"235","4394","UGC 7523","Galaxy",9.9,"Size: 3.9  pB, lE, bM","Como Berenices","Herschel 400","Fall","Green"
"236","4414","UGC 7539","Galaxy",9.3,"Size: 3.6  vB, L, E, g, vsmbM *","Como Berenices","Herschel 400","Fall","Green"
"237","4419","UGC 7551","Galaxy",10.1,"Size: 3.4  B, pmE 135deg +/- , sbM","Como Berenices","Herschel 400","Fall","Green"
"238","4429","UGC 7568","Galaxy",9.2,"Size: 5.5  B, L, cE, psbM, *10 nf","Virgo","Herschel 400","Spring","Green"
"239","4435","UGC 7575","Galaxy",9.9,"Size: 3.0  vB, cL, R, np of 2","Virgo","Herschel 400","Spring","Green"
"240","4438","UGC 7574","Galaxy",9.1,"Size: 9.3  B, cL, vlE, r, sf of 2","Virgo","Herschel 400","Spring","Green"
"241","4442","UGC 7583","Galaxy",9.5,"Size: 4.6  vB, pL, R, smbM","Virgo","Herschel 400","Spring","Green"
"242","4448","UGC 7591","Galaxy",10.1,"Size: 4.0  B, L, E 90deg , sbM","Como Berenices","Herschel 400","Fall","Green"
"243","4449","UGC 7592","Galaxy",8.4,"Size: 5.1  vB, cL, mE, D or bifid, rrr,","Canes Venatici","Herschel 400","Fall","Green"
"244","4450","UGC 7594","Galaxy",9.1,"Size: 4.8  B, L, R, gvmbM *, r, B* sp","Como Berenices","Herschel 400","Fall","Green"
"245","4459","UGC 7614","Galaxy",9.4,"Size: 3.8  pB, pL, iR, bM, r, *8 sf 2'","Como Berenices","Herschel 400","Fall","Green"
"246","4473","UGC 7631","Galaxy",9.2,"Size: 4.5  pB","Como Berenices","Herschel 400","Fall","Green"
"247","4477","UGC 7638","Galaxy",9.4,"Size: 4.0  pB, cL","Como Berenices","Herschel 400","Fall","Green"
"248","4478","UGC 7645","Galaxy",10.2,"Size: 2.0  pB, S, R, psbM, 2nd of 3","Virgo","Herschel 400","Spring","Green"
"249","4485","UGC 7648","Galaxy",11,"Size: 2.4  B, pS, iR, np of 2","Canes Venatici","Herschel 400","Fall","Green"
"250","4490","UGC 7651","Galaxy",8.8,"Size: 5.9  vB, vL, mE 130deg , r, sf of","Canes Venatici","Herschel 400","Fall","Green"
"251","4494","UGC 7662","Galaxy",8.9,"Size: 4.8  vB, pL, R, vsmbMN","Como Berenices","Herschel 400","Fall","Green"
"252","4526","NGC 4560","Galaxy",8.6,"Size: 7.2  vB, vL, mE 120deg +/- , psmbM","Virgo","Herschel 400","Spring","Green"
"253","4527","UGC 7721","Galaxy",9.4,"Size: 6.3  pB, L, pmE 69deg , mbM","Virgo","Herschel 400","Spring","Green"
"254","4535","UGC 7727","Galaxy",8.8,"Size: 6.8  pF, vL, r, spiral neb","Virgo","Herschel 400","Spring","Green"
"255","4536","UGC 7732","Galaxy",9.4,"Size: 7.4  B, vL, mE 110deg , sbM, er","Virgo","Herschel 400","Spring","Green"
"256","4546","MCG 1-32-27","Galaxy",9.3,"Size: 3.5  vB, cL, pmE 78deg , vsmbMN","Virgo","Herschel 400","Spring","Green"
"257","4548","M 91","Galaxy",9.2,"Size: 5.4  B, L, lE, lbM; = M91","Como Berenices","Herschel 400","Fall","Green"
"258","4550","UGC 7757","Galaxy",10.6,"Size: 3.5  pB, S, vlE, sp of 2","Virgo","Herschel 400","Spring","Green"
"259","4559","UGC 7766","Galaxy",8.9,"Size: 10.5  vB, vL, mE 150deg , gbM, 3 s","Como Berenices","Herschel 400","Fall","Green"
"260","4565","UGC 7772","Galaxy",8.6,"Size: 16.2  B, eL, eE 135deg , vsbMN = *","Como Berenices","Herschel 400","Fall","Green"
"261","4570","UGC 7785","Galaxy",9.9,"Size: 4.1  cB, pS, mE 0deg +/- , sbMrN","Virgo","Herschel 400","Spring","Green"
"262","4594","M 104","Galaxy",7.3,"Size: 8.9  !, vB, vL, eE 92deg , vsmbMN;","Virgo","Herschel 400","Spring","Green"
"263","4596","UGC 7828","Galaxy",9.5,"Size: 3.9  B, pS, R, gmbM, r, 3 st f","Virgo","Herschel 400","Spring","Green"
"264","4618","IC 3667","Galaxy",9.8,"Size: 4.4  B, L, E, mbM, curved branch n","Canes Venatici","Herschel 400","Fall","Green"
"265","4631","UGC 7865","Galaxy",8.3,"Size: 15.1  !, vB, vL, eE 70deg +/- , bM","Canes Venatici","Herschel 400","Fall","Green"
"266","4636","NGC 4624?","Galaxy",8.6,"Size: 6.2  B, L, iR, vgvmbM, r","Virgo","Herschel 400","Spring","Green"
"267","4643","UGC 7895","Galaxy",9.6,"Size: 3.4  cB, pS, lE, mbM","Virgo","Herschel 400","Spring","Green"
"268","4654","IC 3708","Galaxy",9.5,"Size: 4.7  F, vL, pmE (D?), 3 st nr; = I","Virgo","Herschel 400","Spring","Green"
"269","4656","UGC 7907","Galaxy",9.4,"Size: 13.8  !, pB, L, vmE 34deg , sp of","Canes Venatici","Herschel 400","Fall","Green"
"270","4660","UGC 7914","Galaxy",10,"Size: 2.8  vB, S, vsvmbMN","Virgo","Herschel 400","Spring","Green"
"271","4665","NGC 4624","Galaxy",11,"Size: 4.2  B, pL, iR, mbM, *10 sp","Virgo","Herschel 400","Spring","Green"
"272","4666","UGC 7926","Galaxy",9.8,"Size: 4.5  B, vL, mE 45deg +/- , psbM","Virgo","Herschel 400","Spring","Green"
"273","4689","UGC 7965","Galaxy",9.9,"Size: 4.0  pB, vL, E, vglbM, r","Como Berenices","Herschel 400","Fall","Green"
"274","4697","MCG 1-33-10","Galaxy",8.3,"Size: 6.0  vB, L, lE 45deg +/- , smbMN","Virgo","Herschel 400","Spring","Green"
"275","4698","UGC 7970","Galaxy",9.7,"Size: 4.3  cB, pL, iR, bM, r","Virgo","Herschel 400","Spring","Green"
"276","4699","MCG 1-33-13","Galaxy",8.6,"Size: 3.5  vB, R, vmbMrN, r","Virgo","Herschel 400","Spring","Green"
"277","4725","UGC 7989","Galaxy",8.2,"Size: 11.0  vB, vL, E, vg, vsvmbMeBN","Como Berenices","Herschel 400","Fall","Green"
"278","4753","UGC 8009","Galaxy",8.9,"Size: 5.4  cB, L, vlE, vglbM","Virgo","Herschel 400","Spring","Green"
"279","4754","UGC 8010","Galaxy",9.6,"Size: 4.7  B, pL, R, psbM, p of 2","Virgo","Herschel 400","Spring","Green"
"280","4762","UGC 8016","Galaxy",9.2,"Size: 8.7  pB, vmE 31deg , 3 B st s, f o","Virgo","Herschel 400","Spring","Green"
"281","4781","MCG 2-33-49","Galaxy",11,"Size: 3.5  cB, vL, mE","Virgo","Herschel 400","Spring","Green"
"282","4800","UGC 8035","Galaxy",11,"Size: 1.8  pB, cS, R, psbM, *14 p","Canes Venatici","Herschel 400","Fall","Green"
"283","4845","UGC 8078","Galaxy",11,"Size: 5.0  pF, pL, pmE, vgbM, * nf 30deg","Virgo","Herschel 400","Spring","Green"
"284","4856","MCG 2-33-78","Galaxy",9.4,"Size: 4.6  B, R, psmbM, *13 np","Virgo","Herschel 400","Spring","Green"
"285","4866","UGC 8102","Galaxy",10,"Size: 6.5  B, pL, mE 90deg , sbMN, S* in","Virgo","Herschel 400","Spring","Green"
"286","4900","UGC 8116","Galaxy",10.5,"Size: 2.3  cB, cE, *10 att 135deg +/-","Virgo","Herschel 400","Spring","Green"
"287","4958","MCG 1-33-84","Galaxy",9.5,"Size: 4.1  vB, pS, E, bMBN","Virgo","Herschel 400","Spring","Green"
"288","4995","MCG 1-34-7","Galaxy",10,"Size: 2.5  pB, pL, R, vgpmbM, *8 np","Virgo","Herschel 400","Spring","Green"
"289","5005","UGC 8256","Galaxy",8.8,"Size: 5.4  vB, vL, vmE 66deg , vsbMN","Canes Venatici","Herschel 400","Fall","Green"
